"","mean","se_mean","sd","10%","90%","n_eff","Rhat"
"lambda[212]",12.75096717,0.163923193132038,8.29741074924802,6.387873,20.54942,2562.14892009045,1.00013928131588
"lambda[213]",24.350359995,0.128341908484276,8.71002969699155,14.92153,35.18032,4605.7704098265,1.00089940467726
"lambda[214]",29.0929846875,0.219440327953092,13.9788275490834,15.07767,45.78461,4057.9678984789,1.00121779616115
"lambda[215]",23.4281171025,0.124922483753244,7.5041409609366,15.29749,32.61147,3608.45044883924,0.999634691977207
"lambda[216]",10.087291095,0.117631642654708,5.63376235117932,5.679787,14.65455,2293.76395058942,1.0005470609322
"lambda[217]",5.0675134975,0.0200966608510334,1.7667661843449,2.997343,7.352951,7728.7694016643,0.999370224246056
"lambda[218]",21.1645314825,0.349672337246841,16.7358372531871,6.84718,41.11556,2290.72172700521,0.999798569370125
"lambda[219]",14.1632479725,0.0526294945955886,4.41617618646544,9.107422,19.66005,7041.00064567724,0.999241869038271
"lambda[220]",8.59820184375,1.68919011631787,18.4909736594215,1.856391,22.87822,119.829154940348,1.01470508720222
"lambda[221]",8.3106739825,0.0327381415780382,2.31920062168674,5.597519,11.22576,5018.43834058272,0.999506718185244
"lambda[222]",9.5237898425,0.0543631028237152,3.64066462277315,5.697084,13.78979,4484.90113883003,1.00014829814069
"lambda[223]",13.66018926125,0.415361559520724,17.5813504931581,2.625527,34.39494,1791.64458376947,1.00258014313138
"lambda[224]",10.421393415,0.0370953035769981,2.65521326737921,7.283981,13.931,5123.43180305461,1.00005669870844
"lambda[225]",19.5394256425,0.147650462410893,8.72611869221922,11.17533,29.44842,3492.79107826659,1.00019657399598
"lambda[226]",30.1703573475,0.26734933437493,15.4405362570508,14.99408,49.67078,3335.54300753119,1.00012638482941
"lambda[227]",6.9717109075,0.0237961314745396,1.77694807862684,4.813716,9.214003,5576.17964569751,1.00016610993279
"lambda[228]",7.0110487175,0.0502398413558585,2.89407342644259,4.343857,9.637505,3318.35291475616,1.00104256234521
"lambda[229]",11.0162076425,0.0393753313264607,2.9957422818557,7.575609,14.84986,5788.42560228996,0.999325581432911
"lambda[230]",8.2701036925,0.0522388189830406,3.117718527053,5.366144,11.34144,3561.94416873613,1.00157284353827
"lambda[231]",35.957911525,0.166846122096221,11.5054134762145,22.88483,50.65726,4755.23766170589,1.00157447681393
"lambda[232]",16.05848522,0.355823851572514,14.1026102797522,5.265175,32.30186,1570.82894903987,1.00518204542256
"lambda[233]",7.65786534,0.153582982914984,5.93545551735187,3.794781,11.74267,1493.55738148104,1.00335389124635
"lambda[234]",6.194827245,0.0715323580204663,2.61465425227894,4.11231,8.401197,1336.05228285805,1.00390034267063
"lambda[235]",6.3927456225,0.105050651220456,3.82181508674116,4.004991,8.662322,1323.55454281052,1.00100487502313
"lambda[236]",7.2781136,0.0303408719660543,2.12270570738528,4.865954,9.996688,4894.67048143809,0.999831572031754
"lambda[237]",10.7369098825,0.0453671054182607,3.68058467887478,6.536169,15.27502,6581.90313664273,0.999652762942518
"lambda[238]",6.492962185,0.0274623796521993,2.05239685680283,4.245242,9.078578,5585.29798332991,0.999569314252945
"lambda[239]",17.54904252675,10.0030259333905,33.6900836923716,1.386418,63.4533,11.3433515081441,1.39691143696518
"lambda[240]",9.84914533875,0.237412049495743,11.0981397786535,3.15544,17.27963,2185.2184890955,1.00022482791138
"lambda[241]",15.190867261,1.64547712205303,25.8660376264114,1.543604,49.10523,247.101916118439,1.0109058298316
"lambda[242]",15.672702625,0.144318792018298,8.55196706525063,7.691996,25.43458,3511.44822446236,0.999468145021064
"lambda[243]",11.5108534,0.0460903431800095,3.54239374957231,7.355407,16.14562,5907.09264406081,0.999693207763567
